POOL,,,,,,,,,,,,
Dataset,Strategy,Treino Inicial,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries/s,Query Rate,Number of Drifts
flags,PoolRandom,0%,10%,0.39837997054491897,0.061855670103092786,0.48674165181897144,3.3845834732055664,28.33203125,19,5.613689291582148,0.0979381443298969,0
flags,PoolUncertainty,0%,10%,0.3888070692194403,0.08247422680412371,0.5046360140432307,4.140146732330322,221.1875,19,4.58920932720316,0.0979381443298969,0
flags,PoolQBC,0%,10%,0.3888070692194403,0.08247422680412371,0.5046360140432307,11.812242031097412,654.00390625,19,1.6085007359297065,0.0979381443298969,0
flags,PoolRandom,5%,10%,0.32432432432432423,0.08648648648648649,0.6557029757029756,1.8211729526519775,0.03125,18,9.883740022488553,0.0972972972972973,0
flags,PoolUncertainty,5%,10%,0.3289575289575289,0.021621621621621623,0.6508133458133457,2.0776619911193848,0.1171875,18,8.663584392907971,0.0972972972972973,0
flags,PoolQBC,5%,10%,0.34054054054054045,0.016216216216216217,0.6391451191451191,7.303224563598633,0,18,2.464664730387337,0.0972972972972973,0
flags,PoolRandom,10%,10%,0.3224489795918367,0.06857142857142857,0.6449298796441654,1.4613316059112549,0,17,11.633225430308247,0.09714285714285714,0
flags,PoolUncertainty,10%,10%,0.31102040816326526,0.11428571428571428,0.6546704882419168,1.8935809135437012,0,17,8.977699277812066,0.09714285714285714,0
flags,PoolQBC,10%,10%,0.3208163265306122,0.09714285714285714,0.6509321472178614,5.588272333145142,0,17,3.042085100106818,0.09714285714285714,0
flags,PoolRandom,20%,10%,0.3021978021978022,0.09615384615384616,0.6738095238095237,1.5233917236328125,0,15,9.846449713032243,0.09615384615384616,0
flags,PoolUncertainty,20%,10%,0.30128205128205127,0.08333333333333333,0.6772308709808709,3.424675703048706,8.0234375,15,4.379976762952106,0.09615384615384616,0
flags,PoolQBC,20%,10%,0.29945054945054944,0.08974358974358974,0.6772114459614459,5.425642490386963,0,15,2.7646495371887623,0.09615384615384616,0
flags,PoolRandom,30%,10%,0.3161764705882352,0.08823529411764706,0.6606264854426618,1.4083819389343262,0,13,9.230450661584491,0.09558823529411764,0
flags,PoolUncertainty,30%,10%,0.31827731092436967,0.08823529411764706,0.6570189818351583,2.2661750316619873,0,13,5.7365383601750946,0.09558823529411764,0
flags,PoolQBC,30%,10%,0.3109243697478991,0.09558823529411764,0.6645645000424412,5.2680511474609375,0,13,2.4677057295211835,0.09558823529411764,0
flags,PoolRandom,50%,10%,0.26509572901325473,0.10309278350515463,0.7097897234495173,2.05057954788208,0.00390625,9,4.389003103681375,0.09278350515463918,0
flags,PoolUncertainty,50%,10%,0.26509572901325473,0.10309278350515463,0.7097897234495173,0.8211724758148193,0.1796875,9,10.959938703583106,0.09278350515463918,0
flags,PoolQBC,50%,10%,0.26509572901325473,0.10309278350515463,0.7097897234495173,3.837656259536743,280.515625,9,2.3451813792948775,0.09278350515463918,0
flags,PoolRandom,80%,10%,0.29670329670329676,0.10256410256410256,0.6607280184203262,0.2907595634460449,0,3,10.317803357675965,0.07692307692307693,0
flags,PoolUncertainty,80%,10%,0.29670329670329676,0.10256410256410256,0.6607280184203262,0.5357100963592529,0.00390625,3,5.600043793067077,0.07692307692307693,0
flags,PoolQBC,80%,10%,0.29670329670329676,0.10256410256410256,0.6607280184203262,1.255014181137085,0,3,2.3904112360562326,0.07692307692307693,0
emotions,PoolRandom,0%,10%,0.2774030354131535,0.11804384485666104,0.5657779919162718,11.714648008346558,561.640625,59,5.0364296014667405,0.09949409780775717,0
emotions,PoolUncertainty,0%,10%,0.27318718381112983,0.13322091062394603,0.5909163910850252,13.79971194267273,264.7734375,59,4.275451563416683,0.09949409780775717,0
emotions,PoolQBC,0%,10%,0.2779651489600899,0.12141652613827993,0.5579919892736082,56.75292611122131,2062.12890625,59,1.0395939741393245,0.09949409780775717,0
emotions,PoolRandom,5%,10%,0.25975177304964536,0.15425531914893617,0.6377126764094849,11.62484860420227,0,56,4.8172670377622415,0.09929078014184398,0
emotions,PoolUncertainty,5%,10%,0.27186761229314416,0.14716312056737588,0.6480462553600852,12.949660539627075,285.8828125,56,4.324437681484791,0.09929078014184398,0
emotions,PoolQBC,5%,10%,0.26034278959810875,0.1524822695035461,0.6428243938882237,43.58126354217529,346.02734375,56,1.2849558605800084,0.09929078014184398,0
emotions,PoolRandom,10%,10%,0.24687890137328336,0.1760299625468165,0.6761745329161059,8.27558946609497,0,53,6.404377623750019,0.09925093632958802,0
emotions,PoolUncertainty,10%,10%,0.2602996254681648,0.14232209737827714,0.6468017521388308,12.023010730743408,0.01171875,53,4.4082136485561385,0.09925093632958802,0
