Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
flags,NoQuery,,0.3161764705882352,0.08823529411764706,0.659499140565317,0.3418262004852295,0.41015625,0,0.0,0.0,[],0
flags,FullSupervision,,0.282563025210084,0.08088235294117647,0.690559746625923,4.266529321670532,0,136,31.876026096722118,1.0,[],0
flags,Random,0.1,0.30336134453781505,0.09705882352941177,0.6737107949240302,0.7607347011566162,0.06171875,12.8,17.183168960256296,0.09411764705882353,0.0,[]
flags,Uncertainty,0.1,0.315126050420168,0.10294117647058823,0.6656167770138358,0.9848365783691406,0.0625,13,13.200159585387865,0.09558823529411764,[],0
flags,QBC,0.1,0.30252100840336127,0.08088235294117647,0.6776936911128086,3.0529143810272217,3.75,13,4.2582261988054375,0.09558823529411764,[],0
emotions,NoQuery,,0.25841346153846156,0.13701923076923078,0.6323673722111223,1.726571798324585,1.37890625,0,0.0,0.0,[],0
emotions,FullSupervision,,0.21834935897435898,0.23076923076923078,0.6804037108724609,35.32684063911438,148.078125,416,11.775748764224302,1.0,[],0
emotions,Random,0.1,0.24951923076923074,0.15673076923076926,0.6381031295093795,5.069123983383179,4.13203125,40.6,8.015253506279914,0.09759615384615385,0.0,[]
emotions,Uncertainty,0.1,0.23798076923076922,0.1778846153846154,0.6489418567543568,6.214121341705322,0.046875,41,6.597875668251515,0.0985576923076923,[],0
emotions,QBC,0.1,0.24679487179487178,0.16826923076923078,0.6514965936840937,20.140777111053467,2.58984375,41,2.035671204439216,0.0985576923076923,[],0
scene,NoQuery,,0.27270029673590507,0.12047477744807121,0.49571246590534435,20.62569761276245,5.0078125,0,0.0,0.0,"[287, 1343, 1375]",3
scene,FullSupervision,,0.05459940652818991,0.7548961424332344,0.887782873242814,229.922456741333,104.70703125,1685,7.328557740210892,1.0,[],0
scene,Random,0.1,0.17772502472799206,0.21353115727002966,0.5738197404310164,62.74629921913147,44.39765625,164.6,2.6229658526026727,0.09768545994065282,1.4,[]
scene,Uncertainty,0.1,0.23194856577645898,0.26646884272997035,0.5728867308095795,75.18616700172424,42.34375,168,2.2344535796877003,0.09970326409495549,"[927, 959, 991]",3
scene,QBC,0.1,0.20009891196834814,0.27062314540059346,0.580988969816863,153.51747846603394,366.77734375,168,1.0943379325838156,0.09970326409495549,"[607, 671, 1343]",3
birds,NoQuery,,0.08069399161620866,0.4225663716814159,0.7437935062615854,11.012056827545166,0,0,0.0,0.0,[],0
birds,FullSupervision,,0.05379599441080578,0.48008849557522126,0.7724485204648406,217.26986074447632,1285.875,452,2.080362174722346,1.0,[],0
birds,Random,0.1,0.06520726595249185,0.45973451327433634,0.7570463394665168,28.62705969810486,25.8984375,44.2,1.5460896952145704,0.09778761061946903,0.0,[]
birds,Uncertainty,0.1,0.05693991616208663,0.4646017699115044,0.7532452186563734,48.60852575302124,73.55859375,45,0.9257635219929098,0.09955752212389381,[],0
birds,QBC,0.1,0.05961807172799254,0.47123893805309736,0.7632538802960679,142.3524010181427,570.1015625,45,0.31611690198512904,0.09955752212389381,[],0
yeast,NoQuery,,0.206644714623438,0.09988179669030733,0.7181366609272194,18.712340354919434,0,0,0.0,0.0,[],0
yeast,FullSupervision,,0.20466058763931103,0.09929078014184398,0.7119744052984414,341.1941587924957,72.27734375,1692,4.959053244018238,1.0,[],0
yeast,Random,0.1,0.20879770347855456,0.10177304964539007,0.7108130493156273,51.911526393890384,0.08515625,165.2,3.1847186955196616,0.09763593380614657,0.0,[]
yeast,Uncertainty,0.1,0.21023302938196553,0.08156028368794327,0.6987934830158966,72.96742844581604,0.10546875,169,2.3161019046394866,0.09988179669030733,[],0
