Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Number of Drifts,Drift Points
SynHPGrad,PoolRandom,0.1,0.2637692857142857,0.0119771428571428,0.4700154797583368,292.29478964805605,428.70390625,3500.0,11.975313484604891,0.1,10.0,[]
SynHPGrad,PoolUncertainty,0.1,0.2632714285714285,0.0109142857142857,0.4692758955330383,338.2818169593811,443.8125,3500.0,10.34640298275405,0.1,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10975]",10
SynHPGrad,PoolQBC,0.1,0.2630285714285714,0.0102857142857142,0.4655294343751486,1141.1124753952026,98.0390625,3500.0,3.0671823115314214,0.1,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10975]",10
SynHPInc,PoolRandom,0.1,0.2404799999999999,0.0005142857142857,0.4310251451405736,286.5929892063141,161.68359375,3500.0,12.21472458954436,0.1,0.0,[]
SynHPInc,PoolUncertainty,0.1,0.2404785714285714,0.0005142857142857,0.4310186270871984,341.07279872894287,351.7890625,3500.0,10.261738881093,0.1,[],0
SynHPInc,PoolQBC,0.1,0.2404785714285714,0.0005142857142857,0.4310186270871984,1135.64404463768,6.49609375,3500.0,3.081951617257547,0.1,[],0
birds,PoolRandom,0.1,0.0720074522589659,0.445575221238938,0.7475400493308378,29.774024963378903,33.75390625,45.0,1.51575731623464,0.0995575221238938,0.0,[]
birds,PoolUncertainty,0.1,0.0671867722403353,0.4380530973451327,0.7462983450572038,44.28548765182495,64.90234375,45.0,1.0161342323650715,0.0995575221238938,[],0
birds,PoolQBC,0.1,0.0614811364694923,0.4756637168141593,0.7685849887806264,134.788419008255,574.4609375,45.0,0.3338565755952966,0.0995575221238938,[],0
emotions,PoolRandom,0.1,0.2500801282051282,0.1509615384615384,0.638544008075258,5.273434162139893,0.0,41.0,7.819945515209794,0.0985576923076923,0.0,[]
emotions,PoolUncertainty,0.1,0.2423878205128205,0.1514423076923076,0.6459765928515928,6.162448406219482,0.0,41.0,6.653199718251684,0.0985576923076923,[],0
emotions,PoolQBC,0.1,0.2556089743589744,0.1298076923076923,0.6186755085192585,19.41087818145752,0.0,41.0,2.1122176759197715,0.0985576923076923,[],0
flags,PoolRandom,0.1,0.3130252100840335,0.0970588235294117,0.6621002567693743,0.6745527744293213,0.0,13.0,19.42469943363651,0.0955882352941176,0.0,[]
flags,PoolUncertainty,0.1,0.3182773109243696,0.088235294117647,0.6570189818351583,0.7527809143066406,0.0,13.0,17.26930073934437,0.0955882352941176,[],0
flags,PoolQBC,0.1,0.3140756302521008,0.088235294117647,0.661874257278669,2.128261089324951,0.0,13.0,6.108273117995773,0.0955882352941176,[],0
scene,PoolRandom,0.1,0.2112363996043521,0.1426706231454006,0.5246360639031262,60.67740411758423,26.9890625,168.0,2.771032715194454,0.0997032640949554,2.4,[]
scene,PoolUncertainty,0.1,0.1897131552917902,0.2100890207715133,0.5805173395677846,79.44692897796631,0.0,168.0,2.114619182405312,0.0997032640949554,"[1343, 1439]",2
scene,PoolQBC,0.1,0.2179030662710187,0.1406528189910979,0.5218940143272487,203.1858983039856,702.6171875,168.0,0.8268290339158079,0.0997032640949554,"[959, 1183]",2
water-quality,PoolRandom,0.1,0.3648055448594531,0.006199460916442,0.2817894162693122,3.8095337390899657,0.03671875,74.0,19.42759220597443,0.0997304582210242,0.0,[]
water-quality,PoolUncertainty,0.1,0.3608971890643049,0.0107816711590296,0.2872549293288785,4.444001197814941,0.0,74.0,16.65166067830604,0.0997304582210242,[],0
water-quality,PoolQBC,0.1,0.3566615325375433,0.0080862533692722,0.287178927833449,13.882567882537842,0.0,74.0,5.330425943249357,0.0997304582210242,[],0
yeast,PoolRandom,0.1,0.2079365079365079,0.0986997635933806,0.7114866335965708,51.52001476287842,102.7546875,169.0,3.284343785523774,0.0998817966903073,0.0,[]
yeast,PoolUncertainty,0.1,0.2093042890915231,0.0939716312056737,0.7105466377999275,65.85007214546204,66.36328125,169.0,2.5664360644386384,0.0998817966903073,[],0
yeast,PoolQBC,0.1,0.2063069908814589,0.0939716312056737,0.7136076009971273,189.20937132835388,1091.39453125,169.0,0.8931904313910406,0.0998817966903073,[],0
