dataset,strategy,stream_size,n_queries,pc1_explained_variance,pc2_explained_variance,cumulative_explained_variance
flags,NoQuery,136,0,0.15797840451494788,0.12346257818797021,0.28144098270291806
flags,FullSupervision,136,136,0.15797840451494788,0.12346257818797021,0.28144098270291806
flags,Random,136,40,0.15797840451494788,0.12346257818797021,0.28144098270291806
flags,Uncertainty,136,38,0.15797840451494788,0.12346257818797021,0.28144098270291806
flags,QBC,136,40,0.15797840451494788,0.12346257818797021,0.28144098270291806
flags,PoolRandom,136,40,0.15797840451494788,0.12346257818797021,0.28144098270291806
flags,PoolUncertainty,136,40,0.15797840451494788,0.12346257818797021,0.28144098270291806
flags,PoolQBC,136,40,0.15797840451494788,0.12346257818797021,0.28144098270291806
emotions,NoQuery,416,0,0.22957794778378102,0.16408153484871404,0.39365948263249506
emotions,FullSupervision,416,416,0.22957794778378102,0.16408153484871404,0.39365948263249506
emotions,Random,416,124,0.22957794778378102,0.16408153484871404,0.39365948263249506
emotions,Uncertainty,416,124,0.22957794778378102,0.16408153484871404,0.39365948263249506
emotions,QBC,416,124,0.22957794778378102,0.16408153484871404,0.39365948263249506
emotions,PoolRandom,416,116,0.22957794778378102,0.16408153484871404,0.39365948263249506
emotions,PoolUncertainty,416,116,0.22957794778378102,0.16408153484871404,0.39365948263249506
emotions,PoolQBC,416,116,0.22957794778378102,0.16408153484871404,0.39365948263249506
scene,NoQuery,1685,0,0.15550930027007542,0.08604548286611063,0.24155478313618606
scene,FullSupervision,1685,1685,0.15550930027007617,0.08604548286283045,0.24155478313290663
scene,Random,1685,504,0.15550930027007595,0.08604548286560663,0.24155478313568257
scene,Uncertainty,1685,505,0.15550930027007562,0.08604548286564609,0.2415547831357217
scene,QBC,1685,505,0.15550930027007612,0.08604548286613722,0.24155478313621334
scene,PoolRandom,1685,505,0.1555093002700763,0.08604548286614001,0.2415547831362163
scene,PoolUncertainty,1685,505,0.15550930027007578,0.08604548286606407,0.24155478313613987
scene,PoolQBC,1685,505,0.15550930027007612,0.08604548286617576,0.2415547831362519
birds,NoQuery,452,0,0.27612485455918745,0.10268165193300266,0.3788065064921901
birds,FullSupervision,452,452,0.27612485455918745,0.10268165193300266,0.3788065064921901
birds,Random,452,135,0.27612485455918745,0.10268165193300266,0.3788065064921901
birds,Uncertainty,452,135,0.27612485455918745,0.10268165193300266,0.3788065064921901
birds,QBC,452,135,0.27612485455918745,0.10268165193300266,0.3788065064921901
birds,PoolRandom,452,135,0.27612485455918745,0.10268165193300266,0.3788065064921901
birds,PoolUncertainty,452,135,0.27612485455918745,0.10268165193300266,0.3788065064921901
birds,PoolQBC,452,135,0.27612485455918745,0.10268165193300266,0.3788065064921901
yeast,NoQuery,1692,0,0.1086684457243825,0.06678146752352719,0.1754499132479097
yeast,FullSupervision,1692,1692,0.1086684457243825,0.06678146752352719,0.1754499132479097
yeast,Random,1692,506,0.1086684457243825,0.06678146752352719,0.1754499132479097
yeast,Uncertainty,1692,507,0.1086684457243825,0.06678146752352719,0.1754499132479097
yeast,QBC,1692,507,0.1086684457243825,0.06678146752352719,0.1754499132479097
yeast,PoolRandom,1692,507,0.1086684457243825,0.06678146752352719,0.1754499132479097
yeast,PoolUncertainty,1692,507,0.1086684457243825,0.06678146752352719,0.1754499132479097
yeast,PoolQBC,1692,507,0.1086684457243825,0.06678146752352719,0.1754499132479097
