Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Number of Drifts,Drift Points
SynHPGrad,,0.3,0.2622,0.0110857142857142,0.4753165811965811,741.9701187610626,1007.7421875,10500.0,14.15151329481144,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 11007]",10
SynHPGrad,,0.3,0.2615678571428571,0.0121428571428571,0.479880300017443,785.8105843067169,1019.73828125,10500.0,13.361998692424905,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10975]",10
SynHPGrad,,0.3,0.2616285714285714,0.0127714285714285,0.4840805911548768,837.6211576461792,1058.27734375,10500.0,12.535499974124724,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 11007]",10
SynHPGrad,,0.3,0.2618357142857143,0.0112857142857142,0.478896471782186,854.5873925685883,1017.9140625,10500.0,12.286631058809215,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10975]",10
SynHPGrad,PoolRandom,0.3,0.2619228571428572,0.0123657142857142,0.4817781390672818,554.9798953533173,647.890625,10500.0,18.923718729513045,0.3,10.0,[]
SynHPGrad,PoolUncertainty,0.3,0.2620607142857142,0.0123428571428571,0.485485981320267,596.8879630565643,834.609375,10500.0,17.59124098638418,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10943]",10
SynHPGrad,PoolQBC,0.3,0.2622214285714285,0.0111142857142857,0.4827780245151673,2123.351687192917,0.0,10500.0,4.945012200913858,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 11007]",10
SynHPInc,,0.3,0.2404785714285714,0.0005142857142857,0.4310186270871984,751.6840124130249,823.2421875,10500.0,13.968635525841949,0.3,[],0
SynHPInc,,0.3,0.2404785714285714,0.0005142857142857,0.4310186270871984,793.34299492836,802.6875,10500.0,13.235132933830425,0.3,[],0
SynHPInc,,0.3,0.240475,0.0005142857142857,0.4310290928119499,804.3100030422211,1113.8203125,10500.0,13.054667926899844,0.3,[],0
SynHPInc,,0.3,0.2404821428571428,0.0005142857142857,0.4310173712002283,833.0013189315796,775.12890625,10500.0,12.605022058629466,0.3,[],0
SynHPInc,PoolRandom,0.3,0.2404807142857143,0.00052,0.4310206281337709,556.4240109443665,863.73671875,10500.0,18.872887055353075,0.3,0.0,[]
SynHPInc,PoolUncertainty,0.3,0.2404857142857142,0.0005142857142857,0.4310162827648541,600.9118390083313,774.6796875,10500.0,17.473445051986108,0.3,[],0
SynHPInc,PoolQBC,0.3,0.2404785714285714,0.0005142857142857,0.4310186270871984,2195.242811441421,16.1171875,10500.0,4.78306998445679,0.3,[],0
birds,,0.3,0.0550768514205868,0.4889380530973451,0.7754138162613952,70.51512479782104,0.19921875,135.0,1.9144828912530203,0.2986725663716814,[],0
birds,,0.3,0.055426176059618,0.4756637168141593,0.7654938630123783,84.17166543006897,0.22265625,135.0,1.6038651404867348,0.2986725663716814,[],0
birds,,0.3,0.0550768514205868,0.4845132743362831,0.7737873626570151,78.50913166999817,48.01171875,135.0,1.719545193385313,0.2986725663716814,[],0
birds,,0.3,0.0543782021425244,0.4889380530973451,0.7752640147214511,95.83680415153503,415.39453125,135.0,1.4086446349623782,0.2986725663716814,[],0
birds,PoolRandom,0.3,0.0632044713553795,0.4619469026548673,0.7541957331072509,64.68572821617127,127.37265625,135.0,2.0884534869771274,0.2986725663716814,0.0,[]
birds,PoolUncertainty,0.3,0.0578714485328365,0.4778761061946903,0.7651059957675314,85.53198790550232,207.140625,135.0,1.578356861635802,0.2986725663716814,[],0
birds,PoolQBC,0.3,0.0595016301816488,0.4601769911504424,0.7526245355881004,272.20462250709534,1189.66015625,135.0,0.495950431541555,0.2986725663716814,[],0
emotions,,0.3,0.2415865384615384,0.1706730769230769,0.6497159958097458,9.70385217666626,0.0,116.0,11.954015569088314,0.2788461538461538,[],0
