Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Number of Drifts,Drift Points
flags,PoolRandom,0.3,0.3279907084785133,0.08455284552845528,0.6459801670777281,1.0758542537689209,0.0,36.0,34.19676693518463,0.2926829268292683,0.0,[]
flags,PoolUncertainty,0.3,0.05,6,123,65,0.3310104529616725,0.08130081300813008,0.6370938005084347,1.295393943786621,0,36,27.790773743133975,0.2926829268292683,[],0
flags,PoolQBC,0.3,0.05,6,123,65,0.3368176538908245,0.08943089430894309,0.6341028438589414,3.9472577571868896,0,36,9.1202556849635,0.2926829268292683,[],0
flags,PoolRandom,0.3,0.32258852258852266,0.05811965811965812,0.6503482557328709,0.8834774494171143,0.03359375,35.0,39.803418218463364,0.29914529914529914,0.0,[]
flags,PoolUncertainty,0.3,0.1,12,117,65,0.3235653235653235,0.05982905982905983,0.6528391361724695,1.2272734642028809,0,35,28.518501394253352,0.29914529914529914,[],0
flags,PoolQBC,0.3,0.1,12,117,65,0.32112332112332115,0.05128205128205128,0.6552302635635969,3.8504693508148193,0,35,9.089800959613783,0.29914529914529914,[],0
flags,PoolRandom,0.3,0.27527472527472524,0.0923076923076923,0.6863465700965701,0.6218997955322265,0.0,20.0,32.39261682011164,0.19230769230769232,0.0,[]
flags,PoolUncertainty,0.3,0.2,25,104,65,0.27747252747252743,0.09615384615384616,0.6850174131424132,0.6507723331451416,0,20,30.732714009738647,0.19230769230769232,[],0
flags,PoolQBC,0.3,0.2,25,104,65,0.2747252747252747,0.09615384615384616,0.6874479686979688,2.018681287765503,0,20,9.90745796338073,0.19230769230769232,[],0
flags,PoolRandom,0.3,0.2543171114599685,0.2087912087912088,0.7185417756846327,0.8534289360046386,0.0,27.0,31.72169301446636,0.2967032967032967,0.0,[]
flags,PoolUncertainty,0.3,0.3,38,91,65,0.2543171114599685,0.2087912087912088,0.7185417756846327,0.956885814666748,0,27,28.216532825709425,0.2967032967032967,[],0
flags,PoolQBC,0.3,0.3,38,91,65,0.2543171114599685,0.2087912087912088,0.7185417756846327,3.597775936126709,0,27,7.504636330707031,0.2967032967032967,[],0
flags,PoolRandom,0.3,0.2857142857142857,0.10769230769230771,0.6813442113442113,0.5432309150695801,0.0,19.0,35.231842706442265,0.2923076923076923,0.0,[]
flags,PoolUncertainty,0.3,0.5,64,65,65,0.2857142857142857,0.1076923076923077,0.6813442113442113,0.5055766105651855,0,19,37.5808524424416,0.2923076923076923,[],0
flags,PoolQBC,0.3,0.5,64,65,65,0.2857142857142857,0.1076923076923077,0.6813442113442113,1.6448144912719727,0,19,11.551454647816767,0.2923076923076923,[],0
flags,PoolRandom,0.3,0.29120879120879123,0.19230769230769232,0.6441387672156904,0.27400455474853513,0.0,7.0,25.6197501132478,0.2692307692307692,0.0,[]
