Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
SynHPGrad,,0.3,0.2624821428571428,0.0113142857142857,0.479411529422958,604.7946000099182,647.76171875,7080.0,11.706453728065515,0.2022857142857143,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10975]",10
SynHPGrad,,0.3,0.26155,0.0111714285714285,0.4773643938601081,753.2044422626495,735.984375,9245.0,12.274223944069863,0.2641428571428571,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10975]",10
SynHPGrad,,0.3,0.2619428571428571,0.0116,0.4818342229199372,893.1322283744812,995.19140625,10500.0,11.756377909584804,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10943]",10
SynHPGrad,,0.3,0.26175,0.0130857142857142,0.4860300061842918,973.2453122138976,1175.16796875,10500.0,10.788646878878913,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10943]",10
SynHPGrad,NoQuery,,0.2663642857142857,0.0,0.4219440825840825,131.01131200790405,7.3359375,0.0,0.0,0.0,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10975]",10
SynHPGrad,FullSupervision,,0.2604392857142857,0.0132,0.4851097619840476,1540.6943171024325,3651.87890625,35000.0,22.717030634489607,1.0,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10463, 10591, 13055]",10
SynHPGrad,Random,0.3,0.2617335714285714,0.0114628571428571,0.4805113120530263,567.0028483867645,987.2515625,10500.0,18.51888549022012,0.3,10.0,[]
SynHPGrad,Uncertainty,0.3,0.2614785714285714,0.0111714285714285,0.4834990672819244,610.024519443512,985.59765625,10500.0,17.212422886834954,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 11039]",10
SynHPInc,,0.3,0.2404785714285714,0.0005142857142857,0.4310186270871984,626.8007388114929,498.6953125,8281.0,13.21153516140074,0.2366,[],0
SynHPInc,,0.3,0.2404892857142857,0.0005428571428571,0.4310287997716569,769.7505209445953,326.0625,10190.0,13.238055347459063,0.2911428571428571,[],0
SynHPInc,,0.3,0.2404785714285714,0.0005142857142857,0.4310186270871984,895.987774848938,609.99609375,10500.0,11.718909894468462,0.3,[],0
SynHPInc,,0.3,0.2404857142857142,0.0005142857142857,0.4310161153132581,964.6236441135406,459.0234375,10500.0,10.885074260904288,0.3,[],0
SynHPInc,NoQuery,,0.2404785714285714,0.0005142857142857,0.4310186270871984,133.00913000106812,0.46875,0.0,0.0,0.0,[],0
