Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
flags,NoQuery,,0.3161764705882352,0.08823529411764706,0.659499140565317,0.3481323719024658,0.1875,0,0.0,0.0,[],0
flags,FullSupervision,,0.282563025210084,0.08088235294117647,0.690559746625923,4.25210428237915,4.29296875,136,31.98416383238486,1.0,[],0
flags,Random,0.3,0.3004201680672268,0.07794117647058824,0.6707550741741919,1.5266288757324218,0.053125,38.6,25.36501652002466,0.2838235294117647,0.0,[]
flags,Uncertainty,0.3,0.28151260504201675,0.11764705882352941,0.6941412549868433,1.4047272205352783,0,38,27.05151537215881,0.27941176470588236,[],0
flags,QBC,0.3,0.2762605042016806,0.10294117647058823,0.6986503692386045,5.06879734992981,40.66796875,40,7.891418267205712,0.29411764705882354,[],0
flags,ClusterHardness_global_K5,0.3,0.29831932773109243,0.11764705882352941,0.6727381482896188,1.0852084159851074,0,13,11.979265741501955,0.09558823529411764,[],0
flags,ClusterHardnessUncertainty_global_K5,0.3,0.3109243697478991,0.08823529411764706,0.6658443680502504,1.4797823429107666,0.00390625,33,22.30057694504465,0.2426470588235294,[],0
flags,ClusterHardness_per_label_K5,0.3,0.3172268907563025,0.08088235294117647,0.6584924879042525,0.9854230880737305,0.0078125,3,3.0443776245026815,0.022058823529411766,[],0
flags,ClusterHardnessUncertainty_per_label_K5,0.3,0.30882352941176466,0.10294117647058823,0.6651830808080808,2.125152111053467,2.05859375,33,15.52830022300919,0.2426470588235294,[],0
emotions,NoQuery,,0.25841346153846156,0.13701923076923078,0.6323673722111223,1.8139352798461914,4.05859375,0,0.0,0.0,[],0
emotions,FullSupervision,,0.21834935897435898,0.23076923076923078,0.6804037108724609,31.66189193725586,128.80859375,416,13.138823189226473,1.0,[],0
emotions,Random,0.3,0.2405448717948718,0.175,0.6475363351925851,11.663966512680053,6.05,120.6,10.35361975595627,0.2899038461538462,0.0,[]
emotions,Uncertainty,0.3,0.24759615384615385,0.15865384615384615,0.6370865245865246,12.21809458732605,12.02734375,124,10.148881981043626,0.2980769230769231,[],0
emotions,QBC,0.3,0.23637820512820515,0.20432692307692307,0.6542781003718503,44.35767364501953,77.6953125,124,2.7954576922210324,0.2980769230769231,[],0
emotions,ClusterHardness_global_K7,0.3,0.2411858974358974,0.17548076923076922,0.6533216783216784,9.176611423492432,0.375,87,9.480623727542511,0.2091346153846154,[],0
emotions,ClusterHardnessUncertainty_global_K7,0.3,0.2512019230769231,0.1466346153846154,0.6372760052447553,12.353342771530151,0.1953125,114,9.228271416764011,0.27403846153846156,[],0
emotions,ClusterHardness_per_label_K7,0.3,0.2299679487179487,0.19230769230769232,0.6697792658730157,13.765213251113892,0.4375,123,8.935568069753423,0.2956730769230769,[],0
emotions,ClusterHardnessUncertainty_per_label_K7,0.3,0.23717948717948717,0.17307692307692307,0.6510507721445221,14.158850193023682,753.87890625,120,8.475264471625398,0.28846153846153844,[],0
scene,NoQuery,,0.27270029673590507,0.12047477744807121,0.49571246590534435,20.065934658050537,0,0,0.0,0.0,"[287, 1343, 1375]",3
scene,FullSupervision,,0.05459940652818991,0.7548961424332344,0.887782873242814,236.97618460655212,159.18359375,1685,7.110419145272253,1.0,[],0
scene,Random,0.3,0.11875370919881305,0.5082492581602375,0.751870065641579,119.03635320663452,86.259375,502.2,4.219027638523239,0.2980415430267062,2.2,[]
